Start Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),GHG Savings (kg),Energy (kWh),Port Type,Plug Type,Gasoline Savings (gallons),Postal Code,Ended By,Fee,Driver Postal Code,User ID,day_of_week,week,month,hour,count_event
2015-01-21 11:25:00,1:59:03,1:58:45,4.188,9.971,Level 2,J1772,1.251,30308,Customer,1.69,30269,323807.0,Wednesday,4,1,11,1
2015-01-21 07:20:00,4:58:34,4:58:15,7.847,18.683,Level 2,J1772,2.345,30308,Plug Out at Vehicle,4.23,30622,217113.0,Wednesday,4,1,7,1
2015-01-21 06:33:00,5:17:48,5:17:50,6.474,15.414000000000001,Level 2,J1772,1.935,30308,Plug Out at Vehicle,4.5,30114,235945.0,Wednesday,4,1,6,1
2015-01-21 10:29:00,0:01:59,0:00:00,0.0,0.0,Level 2,J1772,0.0,30308,Timeout,0.0,30009,322115.0,Wednesday,4,1,10,1
2015-01-21 07:14:00,3:14:12,3:13:50,4.246,10.111,Level 2,J1772,1.2690000000000001,30308,Plug Out at Vehicle,2.75,30009,322115.0,Wednesday,4,1,7,1
2015-01-21 07:50:00,1:57:49,1:57:29,2.56,6.095,Level 2,J1772,0.765,30308,Plug Out at Vehicle,1.67,30102,254811.0,Wednesday,4,1,7,1
2015-01-20 18:03:00,4:17:57,3:09:14,5.702000000000001,13.575,Level 2,J1772,1.704,30308,Plug Out at Vehicle,3.65,30519,205981.0,Tuesday,4,1,18,1
2015-01-20 15:36:00,2:25:45,2:05:19,2.5,5.952000000000001,Level 2,J1772,0.747,30308,Customer,2.06,30308,209813.0,Tuesday,4,1,15,1
2015-01-20 09:46:00,5:57:34,5:57:21,8.222999999999999,19.58,Level 2,J1772,2.457,30308,Plug Out at Vehicle,5.07,30101,250761.0,Tuesday,4,1,9,1
2015-01-20 13:26:00,1:35:16,1:35:00,2.359,5.617000000000001,Level 2,J1772,0.705,30308,Plug Out at Vehicle,1.35,30127,313511.0,Tuesday,4,1,13,1
2015-01-20 07:17:00,5:32:48,4:44:32,7.894,18.795,Level 2,J1772,2.359,30308,Plug Out at Vehicle,4.71,30622,217113.0,Tuesday,4,1,7,1
2015-01-20 09:45:00,1:57:51,1:57:34,1.807,4.302,Level 2,J1772,0.54,30308,Customer,1.67,30308,209813.0,Tuesday,4,1,9,1
